id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,hanlo_taibun_kiplmj,hoabun,from
815,kha-chéng-thâu-á,kha-cheng2-thau5-a2,kha-tsíng-thâu-á,kha-tsing2-thau5-a2,跤指頭仔,腳趾,Ôo Siok-tsing
816,iam-ke-kiâⁿ,iam-ke-kiann5,iam-ke-kiânn,iam-ke-kiann5,閹雞行,倒立,Ôo Siok-tsing
817,hoat-tiâu,hoat-tiau5,huat-tiâu,huat-tiau5,發條,發條,E-Ping Rau
818,kòe-hong,koe3-hong,kuè-hong,kue3-hong,過風,通風,E-Ping Rau
819,liân-chiap-khang,lian5-chiap-khang,liân-tsiap-khang,lian5-tsiap-khang,連接空,連接埠,匿名
820,ke-kòa,ke-koa3,ke-kuà,ke-kua3,加掛,外掛,匿名
821,oá-hiám,oa2-hiam2,uá-hiám,ua2-hiam2,倚險,瀕危,匿名
827,tōa-pō͘-hūn,toa7-poo7-hun7,tuā-pōo-hūn,tua7-poo7-hun7,大部分,大部分,E-Ping Rau
828,kih,kih,kih,kih,砌,砌,E-Ping Rau
829,chhiú-tòng,chhiu2-tong3,tshiú-tòng,tshiu2-tong3,手擋,手煞車,E-Ping Rau
830,chhiú-tòng-á,chhiu2-tong3-a2,tshiú-tòng-á,tshiu2-tong3-a2,手擋仔,手煞車,E-Ping Rau
831,Ku chhiò pih bô bóe,Ku chhio3 pih bo5 boe2,Ku tshiò pih bô bué,Ku tshio3 pih bo5 bue2,龜笑鱉無尾,五十步笑百步,匿名
832,lian--khì,lian--khi3,lian--khì,lian--khi3,蔫去,凋零,匿名
833,sin-kim-san,sin-kim-san,sin-kim-san,sin-kim-san,新金山,墨爾本,匿名
836,liû-lōng-hàn,liu5-long7-han3,liû-lōng-hàn,liu5-long7-han3,流浪漢,街友,匿名
850,ngiáu-hīⁿ-sái,ngiau2-hinn7-sai2,ngiáu-hīnn-sái,ngiau2-hinn7-sai2,撓耳屎,掏耳朵,TWkid Lai
851,ngiáu-hīⁿ-khang,ngiau2-hinn7-khang,ngiáu-hīnn-khang,ngiau2-hinn7-khang,撓耳空,掏耳朵,Tensai Tung
852,lián hīⁿ-á,lian2 hinn7-a2,lián hīnn-á,lian2 hinn7-a2,撚耳仔,掏耳朵,匿名
853,ó͘ hīⁿ-khang,oo2 hinn7-khang,óo hīnn-khang,oo2 hinn7-khang,挖耳空,掏耳朵,匿名
854,chhut-siâu,chhut-siau5,tshut-siâu,tshut-siau5,出潲,射精,匿名
855,chhit--á chhiò peh--á,chhit--a2 chhio3 peh--a2,tshit--á tshiò peh--á,tshit--a2 tshio3 peh--a2,七仔笑八仔,五十步笑百步,匿名
856,kiaⁿ-chi̍t-ē gōng-bīn--khì,kiann-chit8-e7 gong7-bin7--khi3,kiann-tsi̍t-ē gōng-bīn--khì,kiann-tsit8-e7 gong7-bin7--khi3,驚一下戇面去,驚呆,匿名
857,Āⁿ-pháng-bán,Ann7-phang2-ban2,Ānn-pháng-bán,Ann7-phang2-ban2,餡麭挽,麵包超人,Lûi Bêng-Hàn
858,iău-khóng,iau9-khong2,ia̋u-khóng,iau9-khong2,遙控,遙控器,匿名
859,Mī-pau chhiau-jîn,Mi7-pau chhiau-jin5,Mī-pau tshiau-jîn,Mi7-pau tshiau-jin5,麵包超人,麵包超人,匿名
860,Âng-tāu-á-pháng,Ang5-tau7-a2-phang2,Âng-tāu-á-pháng,Ang5-tau7-a2-phang2,紅豆仔麭,麵包超人,TWkid Lai
861,sió-khóa-á,sio2-khoa2-a2,sió-khuá-á,sio2-khua2-a2,小可仔,一點點,匿名
862,oé hīⁿ-khang/ó͘ hīⁿ-khang,oe2 hinn7-khang/oo2 hinn7-khang,ué hīnn-khang/óo hīnn-khang,ue2 hinn7-khang/oo2 hinn7-khang,挖耳空,掏耳朵,薛丞宏
863,ngiáu hīⁿ-khang,ngiau2 hinn7-khang,ngiáu hīnn-khang,ngiau2 hinn7-khang,撓耳空,掏耳朵,薛丞宏
865,chia̍h-bē-lo̍h-pn̄g/chia̍h-bōe-lo̍h-pn̄g,chiah8-be7-loh8-png7/chiah8-boe7-loh8-png7,tsia̍h-bē-lo̍h-pn̄g/tsia̍h-buē-lo̍h-pn̄g,tsiah8-be7-loh8-png7/tsiah8-bue7-loh8-png7,食袂落飯,食慾不振,Ôo Siok-tsing
866,im-cha̍h,im-chah8,im-tsa̍h,im-tsah8,音閘,耳塞,Payuholake Ukiam Len
868,Sîn-kî-pó-pòe,Sin5-ki5-po2-poe3,Sîn-kî-pó-puè,Sin5-ki5-po2-pue3,神奇寶貝,寶可夢,匿名
869,siⁿ-thòaⁿ-khì-koan,sinn-thoann3-khi3-koan,sinn-thùann-khì-kuan,sinn-thuann3-khi3-kuan,生湠器官,生殖器官,匿名
870,seng-si̍t-khì-koan,seng-sit8-khi3-koan,sing-si̍t-khì-kuan,sing-sit8-khi3-kuan,生殖器官,生殖器官,匿名
871,chhut-chôaⁿ,chhut-choann5,tshut-tsuânn,tshut-tsuann5,出泉,一直流汗,薛丞宏
872,im-cha̍h,im-chah8,im-tsa̍h,im-tsah8,音閘,耳塞,Payuholake Ukiam Len
873,ū-bah-phìⁿ,u7-bah-phinn3,ū-bah-phìnn,u7-bah-phinn3,有肉片,A片,Payuholake Ukiam Len
874,iû-î,iu5-i5,iû-î,iu5-i5,由於,由於,匿名
878,kiōng-sán-tóng,kiong7-san2-tong2,kiōng-sán-tóng,kiong7-san2-tong2,共產黨,共產黨,匿名
879,Îⁿ-kiû-iau-koài,Inn5-kiu5-iau-koai3,Înn-kiû-iau-kuài,Inn5-kiu5-iau-kuai3,圓球妖怪,寶可夢,匿名
880,góa beh khì chia̍h-tàu,goa2 beh khi3 chiah8-tau3,guá beh khì tsia̍h-tàu,gua2 beh khi3 tsiah8-tau3,我欲去食晝,我要去吃中飯,Ôo Siok-tsing
881,góa beh khì chia̍h tiong-tàu,goa2 beh khi3 chiah8 tiong-tau3,guá beh khì tsia̍h tiong-tàu,gua2 beh khi3 tsiah8 tiong-tau3,我欲去食中晝,我要去吃中飯,匿名
882,Îⁿ-kiû-lāi-iau-koài,Inn5-kiu5-lai7-iau-koai3,Înn-kiû-lāi-iau-kuài,Inn5-kiu5-lai7-iau-kuai3,圓球內妖怪,寶可夢,匿名
883,thē-á,the7-a2,thē-á,the7-a2,䖳仔,水母,匿名
884,thē-aí-chúi,the7-ai2-chui2,thē-ái-tsúi,the7-ai2-tsui2,䖳仔水,水母,春吉林
885,hip sin-niû siòng,hip sin-niu5 siong3,hip sin-niû siòng,hip sin-niu5 siong3,翕新娘相,拍婚紗,TWkid Lai
886,mā-phô͘-sî-lu̍t,ma7-phoo5-si5-lut8,mā-phôo-sî-lu̍t,ma7-phoo5-si5-lut8,罵菩時律,楓糖,Lûi Bêng-Hàn
887,aì-chu-pēⁿ/aì-chu-pīⁿ,ai3-chu-penn7/ai3-chu-pinn7,ài-tsu-pēnn/ài-tsu-pīnn,ai3-tsu-penn7/ai3-tsu-pinn7,愛滋病,愛滋病,匿名
888,pha̍t-tái,phat8-tai2,pha̍t-tái,phat8-tai2,pha̍t-tái,腦殘,匿名
889,lī-ha̍p-khì,li7-hap8-khi3,lī-ha̍p-khì,li7-hap8-khi3,離合器,離合器,匿名
890,chhut-chôaⁿ,chhut-choann5,tshut-tsuânn,tshut-tsuann5,出泉,南風水氣,薛丞宏
891,thâu-khak pha̍t-tái,thau5-khak phat8-tai2,thâu-khak pha̍t-tái,thau5-khak phat8-tai2,頭殼pha̍t-tái,腦殘,匿名
892,si̍t-si̍p i-su,sit8-sip8 i-su,si̍t-si̍p i-su,sit8-sip8 i-su,實習醫師,實習醫師,Min-de Ang
893,khiú-sim-koaⁿ,khiu2-sim-koann,khiú-sim-kuann,khiu2-sim-kuann,搝心肝,拉扯,匿名
894,khàm chi̍t tiuⁿ pâi kā chit hôe-ha̍p kiat-sok,kham3 chit8 tiunn pai5 ka7 chit hoe5-hap8 kiat-sok,khàm tsi̍t tiunn pâi kā tsit huê-ha̍p kiat-sok,kham3 tsit8 tiunn pai5 ka7 tsit hue5-hap8 kiat-sok,崁一張牌共這回合結束,覆蓋一張牌結束這回合,匿名
895,hō͘ tih-beh lâi,hoo7 tih-beh lai5,hōo tih-beh lâi,hoo7 tih-beh lai5,雨咧欲來,快下雨,匿名
896,beh lo̍h-hō͘,beh loh8-hoo7,beh lo̍h-hōo,beh loh8-hoo7,欲落雨,快下雨,匿名
897,Ngô͘ Kong,Ngoo5 Kong,Ngôo Kong,Ngoo5 Kong,吳剛,吳剛,匿名
899,ū khah súi,u7 khah sui2,ū khah suí,u7 khah sui2,有較媠,變比較漂亮,薛丞宏
900,pàng-mo͘,pang3-moo,pàng-moo,pang3-moo,放毛,放個毛,薛丞宏
902,chiok kú bô khoàiⁿ,chiok ku2 bo5 khoainn3,tsiok kú bô khuàinn,tsiok ku2 bo5 khuainn3,足久無看見,好久不見,匿名
903,Tiong-chhiu,Tiong-chhiu,Tiong-tshiu,Tiong-tshiu,中秋,中秋,Justin Richard Leung
904,jiap-kut,jiap-kut,jiap-kut,jiap-kut,顳骨,顳骨,Justin Richard Leung
905,hiăn-tó͘-sián,hian9-too2-sian2,hia̋n-tóo-sián,hian9-too2-sian2,hia̋n-tóo-sián,扁桃腺,Justin Richard Leung
906,bē-ēng-tit,be7-eng7-tit,bē-īng-tit,be7-ing7-tit,袂用得,不行,薛丞宏
907,phāiⁿ-á-kheh,phainn7-a2-kheh,phāinn-á-kheh,phainn7-a2-kheh,揹仔客,背包客,匿名
908,kan-lo̍k se̍h-ah-se̍h,kan-lok8 seh8-ah-seh8,kan-lo̍k se̍h-ah-se̍h,kan-lok8 seh8-ah-seh8,干樂踅啊踅,陀螺轉呀轉,匿名
910,liàn--ê,lian3--e5,liàn--ê,lian3--e5,輾的,旋轉球,匿名
911,chin-chu leng-tê,chin-chu leng-te5,tsin-tsu ling-tê,tsin-tsu ling-te5,真珠奶茶,珍珠奶茶,匿名
912,the̍h-kip-piān,theh8-kip-pian7,the̍h-kip-piān,theh8-kip-pian7,宅急便,宅急便,匿名
913,kā hit ê cha-bó͘-gín-á pàng--khui,ka7 hit e5 cha-boo2-gin2-a2 pang3--khui,kā hit ê tsa-bóo-gín-á pàng--khui,ka7 hit e5 tsa-boo2-gin2-a2 pang3--khui,共彼个查某囡仔放開,放開那個女孩,匿名
914,kek thâu-khak,kek thau5-khak,kik thâu-khak,kik thau5-khak,激頭殼,腦力激盪,Tiunn Hông-bîng
915,thái-ko,thai2-ko,thái-ko,thai2-ko,癩󿗧,噁心,匿名
917,sit-tì,sit-ti3,sit-tì,sit-ti3,失智,失智,匿名
918,ti-bú-kàu/ti-bó-kàu,ti-bu2-kau3/ti-bo2-kau3,ti-bú-kàu/ti-bó-kàu,ti-bu2-kau3/ti-bo2-kau3,豬母教,母豬教,匿名
919,iā,ia7,iā,ia7,掖,灑,匿名
921,Kong-kiōng-tiān-sī,Kong-kiong7-tian7-si7,Kong-kiōng-tiān-sī,Kong-kiong7-tian7-si7,公共電視,公共電視,匿名
922,kng-iāⁿ-iāⁿ ê àm-mê/kng-iāⁿ-iāⁿ ê àm-mî,kng-iann7-iann7 e5 am3-me5/kng-iann7-iann7 e5 am3-mi5,kng-iānn-iānn ê àm-mê/kng-iānn-iānn ê àm-mî,kng-iann7-iann7 e5 am3-me5/kng-iann7-iann7 e5 am3-mi5,光焱焱的暗暝,白晝之夜,Tiunn Hông-bîng
923,tek-gí/tek-gú,tek-gi2/tek-gu2,tik-gí/tik-gú,tik-gi2/tik-gu2,德語,德語,匿名
924,pìⁿ siáⁿ báng,pinn3 siann2 bang2,pìnn siánn báng,pinn3 siann2 bang2,變啥魍,搞屁啊,匿名
926,jī-tiâu-á/lī-tiâu-á,ji7-tiau5-a2/li7-tiau5-a2,jī-tiâu-á/lī-tiâu-á,ji7-tiau5-a2/li7-tiau5-a2,字條仔,小抄,Tony  Tsai
927,gē-bûn oa̍h-tāng,ge7-bun5 oah8-tang7,gē-bûn ua̍h-tāng,ge7-bun5 uah8-tang7,藝文活動,藝文活動,匿名
928,Lô-má m̄-sī chi̍t kang khí ē sêng--ê,Lo5-ma2 m7-si7 chit8 kang khi2 e7 seng5--e5,Lô-má m̄-sī tsi̍t kang khí ē sîng--ê,Lo5-ma2 m7-si7 tsit8 kang khi2 e7 sing5--e5,羅馬毋是一工起會成的,羅馬不是一天造成的,匿名
929,phùi-that-gín-á,phui3-that-gin2-a2,phuì-that-gín-á,phui3-that-gin2-a2,屁窒囡仔,小屁孩,Tony  Tsai
930,kiàn-siàu bô tè pí,kian3-siau3 bo5 te3 pi2,kiàn-siàu bô tè pí,kian3-siau3 bo5 te3 pi2,見笑無地比,秀下限,Tony  Tsai
931,khan-kâu-á,khan-kau5-a2,khan-kâu-á,khan-kau5-a2,牽猴仔,買辦,Tony  Tsai
932,"Mn̂g-mn̂g-á hō͘ lo̍h kú, thô͘ mā ē tâm.","Mng5-mng5-a2 hoo7 loh8 ku2, thoo5 ma7 e7 tam5.","Mn̂g-mn̂g-á hōo lo̍h kú, thôo mā ē tâm.","Mng5-mng5-a2 hoo7 loh8 ku2, thoo5 ma7 e7 tam5.",毛毛仔雨落久塗，塗嘛會澹。,積少成多聚沙成塔,匿名
933,Bān-sèng-cheh,Ban7-seng3-cheh,Bān-sìng-tseh,Ban7-sing3-tseh,萬聖節,萬聖節,匿名
934,ba̍k-chiu-sái,bak8-chiu-sai2,ba̍k-tsiu-sái,bak8-tsiu-sai2,目睭屎,眼屎,匿名
935,lô-tōng-kiám-cha,lo5-tong7-kiam2-cha,lô-tōng-kiám-tsa,lo5-tong7-kiam2-tsa,勞動檢查,勞動檢查,匿名
936,Koa Bûn-tiat,Koa Bun5-tiat,Kua Bûn-tiat,Kua Bun5-tiat,柯文哲,柯文哲,匿名
937,lín-niâ--leh,lin2-nia5--leh,lín-niâ--leh,lin2-nia5--leh,恁娘咧,去你的,Una Lim
938,chi̍t ngeh keng-chio,chit8 ngeh keng-chio,tsi̍t ngeh king-tsio,tsit8 ngeh king-tsio,一莢弓蕉,一根香蕉,匿名
939,kín hun-hióng/kín hun-hiáng,kin2 hun-hiong2/kin2 hun-hiang2,kín hun-hióng/kín hun-hiáng,kin2 hun-hiong2/kin2 hun-hiang2,緊分享,快分享,匿名
940,chhâ-kak-á,chha5-kak-a2,tshâ-kak-á,tsha5-kak-a2,柴角仔,積木,Payuholake Ukiam Len
941,Tâi-oân tō sī Tâi-oân,Tai5-oan5 to7 si7 Tai5-oan5,Tâi-uân tō sī Tâi-uân,Tai5-uan5 to7 si7 Tai5-uan5,台灣就是台灣,台灣就是台灣,匿名
942,thè-tai-ek,the3-tai-ek,thè-tai-ik,the3-tai-ik,替代役,替代役,Liz Lin
943,sàng-kū,sang3-ku7,sàng-kū,sang3-ku7,送舊,送舊,匿名
944,sîn-keng tōa tiâu,sin5-keng toa7 tiau5,sîn-king tuā tiâu,sin5-king tua7 tiau5,神經大條,神經兮兮,Tiunn Hông-bîng
945,siáu-siáu,siau2-siau2,siáu-siáu,siau2-siau2,痟痟,神經兮兮,Tiunn Hông-bîng
946,gû-kak-tāu,gu5-kak-tau7,gû-kak-tāu,gu5-kak-tau7,牛角豆,秋葵,吳宗臻
947,ma-khá-lóng,ma-kha2-long2,ma-khá-lóng,ma-kha2-long2,馬卡朗,馬卡龍,Una Lim
948,kong-bîn-tâu-phiò,kong-bin5-tau5-phio3,kong-bîn-tâu-phiò,kong-bin5-tau5-phio3,公民投票,公民投票,Iûnn Kiàn-îng
949,kho͘-lo̍h,khoo-loh8,khoo-lo̍h,khoo-loh8,箍絡,勞力,匿名
950,chiâⁿ chán,chiann5 chan2,tsiânn tsán,tsiann5 tsan2,誠讚,真好,匿名
951,thâu-khak chi̍t khang,thau5-khak chit8 khang,thâu-khak tsi̍t khang,thau5-khak tsit8 khang,頭殼一孔,腦殘,匿名
952,chím,chim2,tsím,tsim2,這馬,現在,匿名
953,kiăⁿ-ji̍t,kiann9-jit8,kia̋nn-ji̍t,kiann9-jit8,今仔日,今天,匿名
954,hó,ho2,hó,ho2,好,好,匿名
955,soaⁿ-thâu,soann-thau5,suann-thâu,suann-thau5,山頭,墓地,匿名
956,sú-iōng-lâng,su2-iong7-lang5,sú-iōng-lâng,su2-iong7-lang5,使用人,工具人,Su-yu Lian
957,phun-kèm-muh,phun-kem3-muh,phun-kèm-muh,phun-kem3-muh,潘 kèm-muh,糞 game,匿名
958,siám-hiān,siam2-hian7,siám-hiān,siam2-hian7,閃現,閃現,匿名
959,hoat-kong jī-ke̍k-thé,hoat-kong ji7-kek8-the2,huat-kong jī-ki̍k-thé,huat-kong ji7-kik8-the2,發光二極體,LED,匿名
960,hoat-kok-pháng,hoat-kok-phang2,huat-kok-pháng,huat-kok-phang2,法國pháng,法國麵包,匿名
961,thâu-náu kóaⁿ-kín oat,thau5-nau2 koann2-kin2 oat,thâu-náu kuánn-kín uat,thau5-nau2 kuann2-kin2 uat,頭腦趕緊斡,腦筋急轉彎,ShangKuan Liang-chih
962,sńg éng,sng2 eng2,sńg íng,sng2 ing2,耍湧,衝浪,ShangKuan Liang-chih
963,pháu-khok,phau2-khok,pháu-khok,phau2-khok,跑酷,跑酷,匿名
964,kî-á-kha,ki5-a2-kha,kî-á-kha,ki5-a2-kha,旗仔跤,樁腳,匿名
965,hoan-be̍h-kô͘-thng,hoan-beh8-koo5-thng,huan-be̍h-kôo-thng,huan-beh8-koo5-thng,番麥糊湯,玉米濃湯,匿名
966,se̍k-sū,sek8-su7,si̍k-sū,sik8-su7,熟士,西斯,匿名
967,hō͘-la-kho͘-á,hoo7-la-khoo-a2,hōo-la-khoo-á,hoo7-la-khoo-a2,予啦箍仔,呼拉圈,匿名
968,chhui-tha̍h,chhui-thah8,tshui-tha̍h,tshui-thah8,推疊,Twitter,匿名
969,chhiong-éng,chhiong-eng2,tshiong-íng,tshiong-ing2,衝湧,衝浪,ShangKuan Liang-chih
970,sàu-chhiú-chheⁿ-hō͘,sau3-chhiu2-chhenn-hoo7,sàu-tshiú-tshenn-hōo,sau3-tshiu2-tshenn-hoo7,掃帚星雨,流星雨,Charles Ang
971,keⁿ,kenn,kenn,kenn,經,糾纏不清,匿名
972,kiⁿ-ka-kê,kinn-ka-ke5,kinn-ka-kê,kinn-ka-ke5,kinn-ka-kê,糾纏不清,匿名
973,pah-hòe-tiàm,pah-hoe3-tiam3,pah-huè-tiàm,pah-hue3-tiam3,百貨店,百貨公司,匿名
974,hi-hoa,hi-hoa,hi-hua,hi-hua,虛華,華麗,匿名
975,hoe-chéng-kah,hoe-cheng2-kah,hue-tsíng-kah,hue-tsing2-kah,灰指甲,灰指甲,匿名
976,chiah kiaⁿ thiàⁿ,chiah kiann thiann3,tsiah kiann thiànn,tsiah kiann thiann3,遮驚疼,愛惜羽毛,匿名
977,thô͘-sat,thoo5-sat,thôo-sat,thoo5-sat,塗虱,土虱,匿名
978,phah-lā-liâng,phah-la7-liang5,phah-lā-liâng,phah-la7-liang5,拍抐涼,聊天,匿名
979,phài,phai3,phài,phai3,派,幫派,匿名
980,sî-sî-khek-khek,si5-si5-khek-khek,sî-sî-khik-khik,si5-si5-khik-khik,時時刻刻,無時無刻,匿名
981,hiau-pai,hiau-pai,hiau-pai,hiau-pai,囂俳,驕傲,匿名
982,phak--leh phak--leh khah bē tio̍h chhèng,phak--leh phak--leh khah be7 tioh8 chheng3,phak--leh phak--leh khah bē tio̍h tshìng,phak--leh phak--leh khah be7 tioh8 tshing3,仆咧仆咧較袂著蹭,躺著也中槍,匿名
983,khàu pē,khau3 pe7,khàu pē,khau3 pe7,哭爸,靠北,匿名
984,su-î,su-i5,su-î,su-i5,思維,思惟,匿名
985,chêng-khok,cheng5-khok,tsîng-khok,tsing5-khok,前擴,頭額,匿名
986,tiám-lù,tiam2-lu3,tiám-lù,tiam2-lu3,點攄,觸控,匿名
987,hó-lâng-á bô-tī-tāi,ho2-lang5-a2 bo5-ti7-tai7,hó-lâng-á bô-tī-tāi,ho2-lang5-a2 bo5-ti7-tai7,好人仔無底代,不多管閒事,匿名
988,hó-lâng-á bô-tī-tāi,ho2-lang5-a2 bo5-ti7-tai7,hó-lâng-á bô-tī-tāi,ho2-lang5-a2 bo5-ti7-tai7,好人仔無底代,孤立主義,匿名
989,bē-ēng-tit,be7-eng7-tit,bē-īng-tit,be7-ing7-tit,袂用得,不行,匿名
990,chhiok-khòng,chhiok-khong3,tshiok-khòng,tshiok-khong3,觸控,觸控,匿名
991,chhiú-bong,chhiu2-bong,tshiú-bong,tshiu2-bong,手摸,觸控,匿名
992,sè-î,se3-i5,sè-î,se3-i5,細姨,二奶,匿名
993,pàng-sak,pang3-sak,pàng-sak,pang3-sak,放捒,背棄,匿名
994,bé chhài,be2 chhai3,bé tshài,be2 tshai3,買菜,買菜,匿名
995,phisaⁿ,phisann,phisann,phisann,披衫,曬衣服,匿名
996,m̄-chhap êng-á-sū,m7-chhap eng5-a2-su7,m̄-tshap îng-á-sū,m7-tshap ing5-a2-su7,毋插閒仔事,不多管閒事,匿名
997,kóaⁿ-kín,koann2-kin2,kuánn-kín,kuann2-kin2,趕緊,趕緊,匿名
998,chhi̍h-khòng,chhih8-khong3,tshi̍h-khòng,tshih8-khong3,揤控,觸控,匿名
999,it-téng,it-teng2,it-tíng,it-ting2,一等,冠軍,匿名
1000,lí,li2,lí,li2,你,汝,Payuholake Ukiam Len
1001,sàn-chhiah-lâng,san3-chhiah-lang5,sàn-tshiah-lâng,san3-tshiah-lang5,散赤人,貧窮人,Payuholake Ukiam Len
1002,Pe̍k-liû,Pek8-liu5,Pe̍k-liû,Pek8-liu5,帛琉,帛琉,Payuholake Ukiam Len
1003,sì-luh,si3-luh,sì-luh,si3-luh,シール,貼紙,Payuholake Ukiam Len
1004,tek-kok-siau,tek-kok-siau,tek-kok-siau,tek-kok-siau,德國簫,直笛,Payuholake Ukiam Len
1005,kò pâi-á,ko3 pai5-a2,kò pâi-á,ko3 pai5-a2,划棑仔,泛舟,Payuholake Ukiam Len
1006,tōa-kho͘ pih-á,toa7-khoo pih-a2,tuā-khoo pih-á,tua7-khoo pih-a2,大箍鱉仔,肥宅,Payuholake Ukiam Len
1007,Jû-oa̍t-cheh,Ju5-oat8-cheh,Jû-ua̍t-tseh,Ju5-uat8-tseh,逾越節,逾越節,黃明良
1008,niáu-chhí-á,niau2-chhi2-a2,niáu-tshí-á,niau2-tshi2-a2,鳥鼠仔,滑鼠,匿名
1009,gàn-chhut,gan3-chhut,gàn-tshut,gan3-tshut,gàn出,焠煉,匿名
1010,iú-he̍k,iu2-hek8,iú-hi̍k,iu2-hik8,誘惑,誘惑,匿名
1011,khah kín,khah kin2,khah kín,khah kin2,較緊,比較快,Payuholake Ukiam Len
1012,Táu-kat-oē,Tau2-kat-oe7,Táu-kat-uē,Tau2-kat-ue7,斗葛話,道卡斯語,Payuholake Ukiam Len
1013,it-téng--ê,it-teng2--e5,it-tíng--ê,it-ting2--e5,一頂--的,冠軍,匿名
1014,thǹg khò͘,thng3 khoo3,thǹg khòo,thng3 khoo3,褪褲,脫褲,匿名
1015,iā mè-sì,ia7 me3-si3,iā mè-sì,ia7 me3-si3,掖名刺,發名片,Vic Chen
1016,chèng-siông,cheng3-siong5,tsìng-siông,tsing3-siong5,正常,正常,匿名
1017,tiān-ku,tian7-ku,tiān-ku,tian7-ku,電龜,電銲機,匿名
1018,bong-khòng,bong-khong3,bong-khòng,bong-khong3,摸控,觸控,匿名
1019,Kán Gí-soan,Kan2 Gi2-soan,Kán Gí-suan,Kan2 Gi2-suan,簡語宣,簡語宣,匿名
1020,Ku chhiò pih bô bóe,Ku chhio3 pih bo5 boe2,Ku tshiò pih bô bué,Ku tshio3 pih bo5 bue2,龜笑鱉無尾,烏龜笑鱉沒尾巴,匿名
1021,hèng-chhù,heng3-chhu3,hìng-tshù,hing3-tshu3,興趣,興趣,匿名
1022,hân-khó͘,han5-khoo2,hân-khóo,han5-khoo2,反抗,含扣,匿名
1023,phùi-kiáⁿ,phui3-kiann2,phuì-kiánn,phui3-kiann2,屁囝,小屁孩,匿名
1024,bû-ì-sek,bu5-i3-sek,bû-ì-sik,bu5-i3-sik,無意識,潛意識,Su-yu Lian
1025,chiàm pân-gî,chiam3 pan5-gi5,tsiàm pân-gî,tsiam3 pan5-gi5,占便宜,佔便宜,匿名
1026,thng-thâu,thng-thau5,thng-thâu,thng-thau5,湯頭,高湯,匿名
1027,sut,sut,sut,sut,捽,狼吞虎嚥,匿名
1028,phî-tàn-sán-bah-môe/phî-tàn-sán-bah-bê,phi5-tan3-san2-bah-moe5/phi5-tan3-san2-bah-be5,phî-tàn-sán-bah-muê/phî-tàn-sán-bah-bê,phi5-tan3-san2-bah-mue5/phi5-tan3-san2-bah-be5,皮蛋瘦肉糜,皮蛋瘦肉粥,匿名
1029,giàn-thâu,gian3-thau5,giàn-thâu,gian3-thau5,癮頭,呆呆的,匿名
1030,chhó,chho2,tshó,tsho2,草,保麗龍,匿名
1031,bô būn-tê,bo5 bun7-te5,bô būn-tê,bo5 bun7-te5,無問題,沒問題,匿名
1032,chò--lâng,cho3--lang5,tsò--lâng,tso3--lang5,做人,訂婚,匿名
1033,hái-chhiâng,hai2-chhiang5,hái-tshiâng,hai2-tshiang5,海沖,海嘯,匿名
1034,koân-ta̍h-ê,koan5-tah8-e5,kuân-ta̍h-ê,kuan5-tah8-e5,懸踏鞋,高跟鞋,匿名
1035,siáu-káu-éng,siau2-kau2-eng2,siáu-káu-íng,siau2-kau2-ing2,痟狗湧,海嘯,匿名
1036,khiàm-phah,khiam3-phah,khiàm-phah,khiam3-phah,欠拍,欠打,匿名
1037,koân-ta̍h-á,koan5-tah8-a2,kuân-ta̍h-á,kuan5-tah8-a2,懸踏仔,高跟鞋,匿名
1038,lān-chiáu,lan7-chiau2,lān-tsiáu,lan7-tsiau2,𡳞鳥,屌,匿名
1039,ke-si-lâng,ke-si-lang5,ke-si-lâng,ke-si-lang5,家私人,工具人,匿名
1040,lēng-pái-á,leng7-pai2-a2,līng-pái-á,ling7-pai2-a2,另擺仔,將來,郭耀南
1041,tn̂g-bóe-soaⁿ-niû,tng5-boe2-soann-niu5,tn̂g-bué-suann-niû,tng5-bue2-suann-niu5,長尾山娘,臺灣藍鵲,匿名
1042,sêng-chú,seng5-chu2,sîng-tsú,sing5-tsu2,祖先,神主,匿名
1043,teng-á-hoe,teng-a2-hoe,ting-á-hue,ting-a2-hue,燈仔花,朱槿,匿名
1044,pêng-khoân/pêng-koân,peng5-khoan5/peng5-koan5,pîng-khuân/pîng-kuân,ping5-khuan5/ping5-kuan5,平懸,平權,匿名
1045,kiān-pó-khah/kiān-pó-khá,kian7-po2-khah/kian7-po2-kha2,kiān-pó-khah/kiān-pó-khá,kian7-po2-khah/kian7-po2-kha2,健保卡,健保卡,匿名
1046,tam-tng,tam-tng,tam-tng,tam-tng,擔當,責任,匿名
1047,ìn,in3,ìn,in3,印,影印,匿名
1048,liōng-kái,liong7-kai2,liōng-kái,liong7-kai2,諒解,原諒,匿名
1049,chi̍t ê,chit8 e5,tsi̍t ê,tsit8 e5,一个,一個,匿名
1050,kāng-un-têng/kâng-un-têng,kang7-un-teng5/kang5-un-teng5,kāng-un-tîng/kâng-un-tîng,kang7-un-ting5/kang5-un-ting5,仝溫重,同溫層,Âng Hiok-siông
1051,kāng-iâⁿ--ê/kâng-iâⁿ--ê,kang7-iann5--e5/kang5-iann5--e5,kāng-iânn--ê/kâng-iânn--ê,kang7-iann5--e5/kang5-iann5--e5,仝營的,同溫層,Âng Hiok-siông
